claim_id,claim_class,claim_text,primary_namespace,primary_table_ids,primary_figure_ids,supporting_paths,claim_status,notes
DEC_01,decision,Canonical main-results namespace is Results_Hyperparameter_Set_1 because it matches epochs=50 batch_size=16 and learning_rate=1e-4,Results_Hyperparameter_Set_1,,,"README.md; configs/README.md; Results_Hyperparameter_Set_1/README.md; reports/week4_embedding_analysis/namespace_decision.md",decision_rule,Project brief PDF text was not extractable locally but user context and repo docs agree.
CLM_01,dataset,Frozen family test sets are oxide n=1484 and nitride n=242,data_shared,TAB_CTX_OXIDE_SUMMARY_JSON; TAB_CTX_NITRIDE_SUMMARY_JSON; TAB_EA_SUBSET_COUNTS,,manifests/dft_3d_formation_energy_peratom_splits.csv,supported,Use these counts consistently across zero-shot fine-tuning from-scratch and embedding sections.
CLM_02,zero_shot,Zero-shot pretrained ALIGNN performs better on oxides than on nitrides,Results_Before_Correction,TAB_ZS_SUMMARY,,Results_Before_Correction/oxide/zero_shot/predictions.csv; Results_Before_Correction/nitride/zero_shot/predictions.csv,supported,Canonical zero-shot MAEs are oxide 0.03418 and nitride 0.06954.
CLM_03,fine_tuning,Under the canonical 50/16/1e-4 setting fine-tuning never beats zero-shot on oxide across N=10..1000,Results_Hyperparameter_Set_1,TAB_S1_FT_SUMMARY_BY_N; TAB_ZS_SUMMARY,FIG_S1_LC_OXIDE; FIG_S1_PARITY_COLLECTION,Results_Hyperparameter_Set_1/oxide/,supported,Best oxide fine-tune mean is 0.04169 at N=1000 versus zero-shot 0.03418.
CLM_04,fine_tuning,Under the canonical 50/16/1e-4 setting fine-tuning never beats zero-shot on nitride across N=10..1000,Results_Hyperparameter_Set_1,TAB_S1_FT_SUMMARY_BY_N; TAB_ZS_SUMMARY,FIG_S1_LC_NITRIDE; FIG_S1_PARITY_COLLECTION,Results_Hyperparameter_Set_1/nitride/,supported,Best nitride fine-tune mean is 0.08742 at N=10 versus zero-shot 0.06954.
CLM_05,from_scratch,Canonical from-scratch baselines are substantially worse than zero-shot and worse than canonical fine-tuning,Results_Hyperparameter_Set_1,TAB_S1_FS_SUMMARY; TAB_S1_FT_SUMMARY_BY_N; TAB_ZS_SUMMARY,FIG_S1_COMP_OXIDE; FIG_S1_COMP_NITRIDE,Results_Hyperparameter_Set_1/oxide/; Results_Hyperparameter_Set_1/nitride/,supported,Best from-scratch MAEs remain far above zero-shot for both families.
CLM_06,robustness,Results_Hyperparameter_Set_2 and Results_Hyperparameter_Set_3 are complete robustness namespaces with 60 fine-tuning runs and 20 from-scratch runs each,Results_Hyperparameter_Set_2 + Results_Hyperparameter_Set_3,TAB_S2_FT_RUNS; TAB_S2_FS_RUNS; TAB_S3_FT_RUNS; TAB_S3_FS_RUNS,FIG_S2_FT_CURVE_COLLECTION; FIG_S2_FS_CURVE_COLLECTION; FIG_S3_FT_CURVE_COLLECTION; FIG_S3_FS_CURVE_COLLECTION,Results_Hyperparameter_Set_2/README.md; Results_Hyperparameter_Set_3/README.md,supported,These namespaces are complete but not the main brief-aligned setting.
CLM_07,robustness,Set 2 and Set 3 fine-tuning are numerically closer to zero-shot than Set 1 so hyperparameter sensitivity should be framed as robustness rather than replacing the main setting,Results_Hyperparameter_Set_1 + Results_Hyperparameter_Set_2 + Results_Hyperparameter_Set_3,TAB_S1_FT_SUMMARY_BY_N; TAB_S2_FT_SUMMARY_BY_N; TAB_S3_FT_SUMMARY_BY_N; TAB_ZS_SUMMARY,FIG_S2_LC_OXIDE; FIG_S2_LC_NITRIDE; FIG_S3_LC_OXIDE; FIG_S3_LC_NITRIDE,scripts/shared/README.md,supported,This is the main namespace-versus-performance tension to flag in the paper phase.
CLM_08,embedding_separation,Frozen pretrained embeddings separate oxide and nitride families in raw 256D space and last_alignn_pool is the strongest fixed-test view in the curated package,reports/week4_embedding_analysis,TAB_EA_FAMILY_SEPARATION; TAB_EA_SUBSET_COUNTS; TAB_EA_PCA_EXPLAINED,FIG_EA_6A; FIG_EA_6B; FIG_EA_6C,reports/week4_embedding_analysis/family_separation_summary.md,supported,On the fixed test set last_alignn_pool reaches silhouette 0.239 kNN purity 0.966 and logistic AUC 0.999.
CLM_09,embedding_mechanism,Nitride zero-shot error increases with distance from the oxide reference region in raw embedding space,reports/week4_embedding_analysis,TAB_EA_DISTANCE_ERROR_STATS; TAB_ZS_NITRIDE_PREDICTIONS,FIG_EA_6D; FIG_EA_DISTANCE_COLLECTION,reports/week4_embedding_analysis/domain_shift_hypothesis_test.md,supported,Mean 5NN oxide distance has positive Spearman correlation across all three embedding levels.
CLM_10,figure_selection,Embedding Figure 6 should use the curated final figure set and keep sensitivity figures in the appendix,reports/week4_embedding_analysis,TAB_EA_FAMILY_SEPARATION; TAB_EA_DISTANCE_ERROR_STATS,FIG_EA_6A; FIG_EA_6B; FIG_EA_6C; FIG_EA_6D; FIG_EA_APP_TSNE15; FIG_EA_APP_TSNE50; FIG_EA_APP_UMAP15; FIG_EA_APP_UMAP50,reports/week4_embedding_analysis/README.md; reports/week4_embedding_analysis/final_results_summary.md,decision_rule,Use the four Figure 6 panels in main text and keep parameter sweeps in appendix.
CLM_11,guardrail,pre_head and last_gcn_pool are numerically identical in the current embedding outputs so claims that they differ materially are unsafe,reports/week4_embedding_analysis,TAB_EA_FAMILY_SEPARATION; TAB_EA_DISTANCE_ERROR_STATS; TAB_EA_PCA_EXPLAINED,,reports/week4_embedding_analysis/final_results_summary.md,risk_or_guardrail,Treat one as a sensitivity duplicate unless hook behavior is revisited.
CLM_12,provenance,reports/week2 and reports/provenance/colab are provenance bundles and should not override the reorganized hyperparameter-set report folders,reports,,,reports/README.md; reports/provenance/README.md; docs/WORKSPACE_ARTIFACT_GUIDE.md,decision_rule,Keep these paths for audit trails only.
