figure_label,source_path,report_membership,text_placement,linked_table_path,purpose_note,status,copied_to
FIG_SCHEMATIC,to_be_created,all,main_text,none,Study design schematic showing oxide as in-distribution control and nitride as out-of-distribution test with zero-shot / fine-tune / scratch protocol,to_be_created,n/a
FIG_ZS_COMPARISON,to_be_created,nitride|combined|oxide_optional,main_text,reports/zero_shot/zero_shot_summary.csv,Side-by-side bar or paired comparison of oxide vs nitride zero-shot MAE; establishes the domain-shift baseline gap,to_be_created,n/a
FIG_S1_LC_OXIDE,reports/Hyperparameter Set 1/Learning Curves/Oxide Learning Curve - Hyperparameter Set 1.png,oxide|combined,main_text,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Oxide fine-tuning learning curve across N under canonical Set 1 setting; shows smooth adaptation from N>=50,exists,core_figures/FIG_S1_LC_OXIDE.png
FIG_S1_LC_NITRIDE,reports/Hyperparameter Set 1/Learning Curves/Nitride Learning Curve - Hyperparameter Set 1.png,nitride|combined,main_text,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Nitride fine-tuning learning curve across N under canonical Set 1 setting; shows inertness at N<=200 and onset at N=500,exists,core_figures/FIG_S1_LC_NITRIDE.png
FIG_S1_PARITY_OXIDE_N10,reports/Hyperparameter Set 1/Parity Plots/Oxide Parity Plot - Hyperparameter Set 1 N=10.png,oxide|combined,main_text,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Oxide parity plot at N=10; paired with low-N checkpoint caveat; shows zero-shot-state error distribution,exists,core_figures/FIG_S1_PARITY_OXIDE_N10.png
FIG_S1_PARITY_OXIDE_N1000,reports/Hyperparameter Set 1/Parity Plots/Oxide Parity Plot - Hyperparameter Set 1 N=1000.png,oxide|combined,main_text,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Oxide parity plot at N=1000; shows best oxide fine-tuning error structure,exists,core_figures/FIG_S1_PARITY_OXIDE_N1000.png
FIG_S1_PARITY_NITRIDE_N10,reports/Hyperparameter Set 1/Parity Plots/Nitride Parity Plot - Hyperparameter Set 1 N=10.png,nitride|combined,main_text,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Nitride parity plot at N=10; inert regime; checkpoint is zero-shot state; shows domain-shift error floor,exists,core_figures/FIG_S1_PARITY_NITRIDE_N10.png
FIG_S1_PARITY_NITRIDE_N1000,reports/Hyperparameter Set 1/Parity Plots/Nitride Parity Plot - Hyperparameter Set 1 N=1000.png,nitride|combined,main_text,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Nitride parity plot at N=1000; shows best nitride fine-tuning result despite not surpassing zero-shot,exists,core_figures/FIG_S1_PARITY_NITRIDE_N1000.png
FIG_S1_COMP_OXIDE,reports/Hyperparameter Set 1/Comparison Plots/Oxide Comparison Plot - Hyperparameter Set 1.png,oxide|combined,main_text,reports/Hyperparameter Set 1/Summaries/From Scratch/fromscratch_summary.csv,Oxide finetune vs from-scratch comparison at N=50 and N=500; quantifies pretraining value on control task,exists,core_figures/FIG_S1_COMP_OXIDE.png
FIG_S1_COMP_NITRIDE,reports/Hyperparameter Set 1/Comparison Plots/Nitride Comparison Plot - Hyperparameter Set 1.png,nitride|combined,main_text,reports/Hyperparameter Set 1/Summaries/From Scratch/fromscratch_summary.csv,Nitride finetune vs from-scratch comparison at N=50 and N=500; N=50 is initialization advantage; N=500 is first real adaptation comparison,exists,core_figures/FIG_S1_COMP_NITRIDE.png
