category,canonical_path,duplicate_path,action,rationale,confidence
semantic_duplicate_zero_shot_report_copy,reports/zero_shot/zero_shot_summary.csv,reports/week2/zero_shot_summary.csv,SAFE_TO_DELETE,Report-level convenience CSV repeats values now centralized in the single canonical zero-shot summary table.,high
semantic_duplicate_zero_shot_report_copy,reports/zero_shot/zero_shot_summary.csv,reports/Hyperparameter Set 1/Summaries/Finetuning/zero_shot_summary.csv,SAFE_TO_DELETE,Report-level convenience CSV repeats values now centralized in the single canonical zero-shot summary table.,high
semantic_duplicate_zero_shot_report_copy,reports/zero_shot/zero_shot_summary.csv,reports/Hyperparameter Set 2/Summaries/Finetuning/zero_shot_summary.csv,SAFE_TO_DELETE,Report-level convenience CSV repeats values now centralized in the single canonical zero-shot summary table.,high
semantic_duplicate_zero_shot_report_copy,reports/zero_shot/zero_shot_summary.csv,reports/Hyperparameter Set 3/Summaries/Finetuning/zero_shot_summary.csv,SAFE_TO_DELETE,Report-level convenience CSV repeats values now centralized in the single canonical zero-shot summary table.,high
generated_root_lmdb_cache,not_applicable_regenerable_cache,id_prop.csvtest_data/data.mdb,SAFE_TO_DELETE,Tiny root-level ALIGNN LMDB cache artifact with no scientific result content; generated cache can be recreated and is not referenced as a canonical asset.,high
generated_root_lmdb_cache,not_applicable_regenerable_cache,id_prop.csvtest_data/lock.mdb,SAFE_TO_DELETE,Tiny root-level ALIGNN LMDB cache artifact with no scientific result content; generated cache can be recreated and is not referenced as a canonical asset.,high
generated_root_lmdb_cache,not_applicable_regenerable_cache,id_prop.csvtrain_data/data.mdb,SAFE_TO_DELETE,Tiny root-level ALIGNN LMDB cache artifact with no scientific result content; generated cache can be recreated and is not referenced as a canonical asset.,high
generated_root_lmdb_cache,not_applicable_regenerable_cache,id_prop.csvtrain_data/lock.mdb,SAFE_TO_DELETE,Tiny root-level ALIGNN LMDB cache artifact with no scientific result content; generated cache can be recreated and is not referenced as a canonical asset.,high
generated_root_lmdb_cache,not_applicable_regenerable_cache,id_prop.csvval_data/data.mdb,SAFE_TO_DELETE,Tiny root-level ALIGNN LMDB cache artifact with no scientific result content; generated cache can be recreated and is not referenced as a canonical asset.,high
generated_root_lmdb_cache,not_applicable_regenerable_cache,id_prop.csvval_data/lock.mdb,SAFE_TO_DELETE,Tiny root-level ALIGNN LMDB cache artifact with no scientific result content; generated cache can be recreated and is not referenced as a canonical asset.,high
exact_duplicate_result_artifacts,manual_review_required,many Results_Before_Correction and Results_Hyperparameter_Set_* run artifacts,MANUAL_REVIEW_KEEP,"Exact hashes can occur across run namespaces, but these files are attached to distinct experiment provenance. Do not delete without a separate result-namespace policy.",medium
exact_duplicate_dataset_or_structure_copies,manual_review_required,data_shared and per-run dataset_root/POSCAR copies,MANUAL_REVIEW_KEEP,Structure files may be exact copies by design; per-run materialization supports reproducibility and error-to-structure linkage.,medium
duplicate_local_readmes,manual_review_required,small README.md files under mirrored report subfolders,MANUAL_REVIEW_KEEP,Contextual documentation is intentionally repeated near the files it describes.,medium
semantic_transfer_zero_shot_family_json,reports/zero_shot/zero_shot_summary.csv,Results_Before_Correction/oxide/zero_shot/summary.json,SAFE_TO_DELETE,Family-level JSON summary was consolidated into the single canonical report-level zero-shot summary CSV.,high
semantic_transfer_zero_shot_family_json,reports/zero_shot/zero_shot_summary.csv,Results_Before_Correction/nitride/zero_shot/summary.json,SAFE_TO_DELETE,Family-level JSON summary was consolidated into the single canonical report-level zero-shot summary CSV.,high
provenance_zero_shot_csv_copy,reports/zero_shot/zero_shot_summary.csv,reports/provenance/colab/week2_alignn_defaults_colab_5seed/zero_shot_summary.csv,SAFE_TO_DELETE,Provenance copy repeats zero-shot MAE values with old absolute paths; the single canonical report summary now lives under reports/zero_shot/.,high
provenance_zero_shot_csv_copy,reports/zero_shot/zero_shot_summary.csv,reports/provenance/colab/week2_seed34_last2_colab/zero_shot_summary.csv,SAFE_TO_DELETE,Provenance copy repeats zero-shot MAE values with old absolute paths; the single canonical report summary now lives under reports/zero_shot/.,high
