manuscript,section,placeholder_text,zotero_title,zotero_authors,zotero_year,zotero_key_or_id,status,notes
oxide_report,1. Introduction,"[CITE: crystal graph baseline for materials property prediction]","Crystal Graph Convolutional Neural Networks for an Accurate and Interpretable Prediction of Material Properties | Atomistic Line Graph Neural Network for improved materials property predictions","Xie & Grossman | Choudhary & DeCost",2018 | 2021,4K3VGEUE | U9NHTD8R,RESOLVED_MULTI,"Author decision: CGCNN + ALIGNN as twin exemplars of the crystal GNN class; CGCNN appears again in next sentence for the historical-exemplar claim — both citations are independent"
oxide_report,1. Introduction,"[CITE: CGCNN foundational paper]","Crystal Graph Convolutional Neural Networks for an Accurate and Interpretable Prediction of Material Properties","Xie & Grossman",2018,4K3VGEUE,RESOLVED,
oxide_report,1. Introduction,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED,
oxide_report,1. Introduction,"[CITE: JARVIS dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED,
oxide_report,1. Introduction,"[CITE: transfer learning in materials informatics]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning","Lee & Asahi | Kim et al.",2021 | 2024,EIITR8T3 | E9PT9HW4,RESOLVED_MULTI,"Author decision; matches the explicit [CITE: Lee & Asahi 2021; Kim et al. 2024] form used in Discussion §4.2 of the same manuscript"
oxide_report,1. Introduction,"[CITE: domain shift or OOD benchmark in materials property prediction]","Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study | Probing out-of-distribution generalization in machine learning for materials","Omee et al. | Li K. et al.",2024 | 2025,VNA4JJ3A | QGDLHVAF,RESOLVED_MULTI,"Author decision: Introduction limited to two benchmark/evaluation papers; method papers 7STQCC9U and NLBNY4TV reserved for Discussion citations"
oxide_report,2.1 Dataset and prediction target,"[CITE: JARVIS 2020 dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED,
oxide_report,2.3 Split protocol and subset construction,"[CITE: JARVIS 2020 dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED,
oxide_report,2.4 Zero-shot evaluation,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED,
oxide_report,2.6 Hyperparameter setting and model specification,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED,
oxide_report,3.1 Zero-shot MAE results,"[CITE: Choudhary & DeCost 2021 — ALIGNN]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED,
oxide_report,3.1 Zero-shot MAE results,"[CITE: Choudhary et al. 2020 — JARVIS; Choudhary et al. 2024 — JARVIS-Leaderboard]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design | JARVIS-Leaderboard: a large scale benchmark of materials design methods","Choudhary et al. | Choudhary et al.",2020 | 2024,TR6CHAD2 | ZNSBRAGX,RESOLVED_MULTI,
oxide_report,4.2 What pretraining delivers,"[CITE: Lee & Asahi 2021; Kim et al. 2024]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning","Lee & Asahi | Kim et al.",2021 | 2024,EIITR8T3 | E9PT9HW4,RESOLVED_MULTI,
oxide_report,4.2 What pretraining delivers,"[CITE: Xie & Grossman 2018 — CGCNN; Choudhary & DeCost 2021 — ALIGNN; Choudhary et al. 2020 — JARVIS; Choudhary et al. 2024 — JARVIS-Leaderboard]","Crystal Graph Convolutional Neural Networks... | Atomistic Line Graph Neural Network... | The joint automated repository (JARVIS)... | JARVIS-Leaderboard...","Xie & Grossman | Choudhary & DeCost | Choudhary et al. | Choudhary et al.",2018 | 2021 | 2020 | 2024,4K3VGEUE | U9NHTD8R | TR6CHAD2 | ZNSBRAGX,RESOLVED_MULTI,
oxide_report,4.2 What pretraining delivers,"[CITE: Choudhary et al. 2024 — JARVIS-Leaderboard]","JARVIS-Leaderboard: a large scale benchmark of materials design methods","Choudhary et al.",2024,ZNSBRAGX,RESOLVED,
oxide_report,4.3 Why oxide is easier,"[CITE: Choudhary et al. 2020 — JARVIS; Choudhary & DeCost 2021 — ALIGNN]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design | Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary et al. | Choudhary & DeCost",2020 | 2021,TR6CHAD2 | U9NHTD8R,RESOLVED_MULTI,
oxide_report,4.4 Embedding view,"[CITE: Choudhary & DeCost 2021; Choudhary 2025]","Atomistic Line Graph Neural Network for improved materials property predictions | The JARVIS Infrastructure is All You Need for Materials Design","Choudhary & DeCost | Choudhary",2021 | 2025,U9NHTD8R | WD6C24D9,RESOLVED_MULTI,
