claim_id,mapping_status,number_source_file,number_ids_or_patterns,primary_source_paths,notes
DEC_01,policy_only,,,reports/final_paper_factory/00_source_of_truth/master_evidence_manifest_v2.md; reports/final_paper_factory/00_source_of_truth/source_of_truth_memo_v2.md,"Canonical namespace decision is policy-level, not a result-number claim."
DEC_02,policy_only,,,reports/final_paper_factory/00_source_of_truth/master_evidence_manifest_v2.md; reports/final_paper_factory/00_source_of_truth/source_of_truth_memo_v2.md,"Zero-shot namespace placement is policy-level, not a result-number claim."
CLM_01,mapped,canonical_numbers.csv,CN_ZS_OXIDE_N_TEST; CN_ZS_NITRIDE_N_TEST,reports/zero_shot/zero_shot_summary.csv,Frozen family test-set counts for reporting consistency.
CLM_02,mapped,canonical_numbers.csv,CN_ZS_OXIDE_MAE; CN_ZS_NITRIDE_MAE,reports/zero_shot/zero_shot_summary.csv,Canonical zero-shot MAEs for oxide-vs-nitride comparison.
CLM_03,mapped,canonical_numbers.csv,CN_ZS_OXIDE_MAE; CN_FT_S1_OXIDE_N*_MEAN_TEST_MAE; CN_FT_S1_OXIDE_N*_TRANSFER_GAIN_VS_ZERO_SHOT,reports/zero_shot/zero_shot_summary.csv; reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Use transfer-gain rows for the direct never-beats-zero-shot test; mean MAEs remain available for exact values by N.
CLM_04,mapped,canonical_numbers.csv,CN_ZS_NITRIDE_MAE; CN_FT_S1_NITRIDE_N*_MEAN_TEST_MAE; CN_FT_S1_NITRIDE_N*_TRANSFER_GAIN_VS_ZERO_SHOT; CN_FT_S1_NITRIDE_N10_MEAN_BEST_EPOCH,reports/zero_shot/zero_shot_summary.csv; reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Includes the N=10 mean_best_epoch caveat row to prevent overclaiming adaptation.
CLM_05,mapped,canonical_numbers.csv,CN_FS_S1_*_GAIN_VS_ZERO_SHOT; CN_TRANSFER_BENEFIT_*; CN_FT_S1_*_MEAN_TEST_MAE; CN_FS_S1_*_MEAN_TEST_MAE,reports/Hyperparameter Set 1/Summaries/From Scratch/fromscratch_summary.csv; reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv; reports/zero_shot/zero_shot_summary.csv,"From-scratch performance vs zero-shot and fine-tuning, plus derived transfer-benefit gaps."
CLM_06,mapped,robustness_numbers_appendix.csv,RN_S2_FT_RUN_COUNT; RN_S2_FS_RUN_COUNT; RN_S3_FT_RUN_COUNT; RN_S3_FS_RUN_COUNT,reports/Hyperparameter Set 2/Summaries/Finetuning/finetune_runs.csv; reports/Hyperparameter Set 2/Summaries/From Scratch/fromscratch_runs.csv; reports/Hyperparameter Set 3/Summaries/Finetuning/finetune_runs.csv; reports/Hyperparameter Set 3/Summaries/From Scratch/fromscratch_runs.csv,Row counts from the robustness run-level CSVs.
CLM_07,mapped,canonical_numbers.csv; robustness_numbers_appendix.csv,CN_FT_S1_*_TRANSFER_GAIN_VS_ZERO_SHOT; RN_FT_S2_*_TRANSFER_GAIN_VS_ZERO_SHOT; RN_FT_S3_*_TRANSFER_GAIN_VS_ZERO_SHOT,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv; reports/Hyperparameter Set 2/Summaries/Finetuning/finetune_summary_by_N.csv; reports/Hyperparameter Set 3/Summaries/Finetuning/finetune_summary_by_N.csv,"Cross-namespace closeness to zero-shot should be read from transfer-gain rows, with Set 1 retained as canonical by policy."
CLM_08,mapped,canonical_numbers.csv,CN_EA_FIXED_TEST_*_SILHOUETTE; CN_EA_FIXED_TEST_*_DAVIES_BOULDIN; CN_EA_FIXED_TEST_*_KNN_PURITY; CN_EA_FIXED_TEST_*_LOGISTIC_AUC,reports/week4_embedding_analysis/tables/family_separation_metrics.csv,Use all fixed-test overall-family-label rows to justify the strongest-view selection.
CLM_09,mapped,canonical_numbers.csv,CN_EA_KNN5_*_SPEARMAN_RHO; CN_EA_KNN5_*_SPEARMAN_Q; CN_EA_KNN5_*_HARD_EASY_MEAN_GAP; CN_EA_KNN5_*_HARD_EASY_MEAN_GAP_Q,reports/week4_embedding_analysis/tables/nitride_distance_error_stats.csv,kNN5 domain-shift association rows and their within-statistic FDR q-values.
CLM_10,policy_only,,,reports/final_paper_factory/00_source_of_truth/master_evidence_manifest_v2.md; reports/final_paper_factory/00_source_of_truth/source_of_truth_memo_v2.md,"Figure selection is a writing-policy decision, not a numeric claim."
CLM_11,mapped_with_guardrail,canonical_numbers.csv,CN_EA_FIXED_TEST_PRE_HEAD_*; CN_EA_FIXED_TEST_LAST_GCN_POOL_*; CN_EA_KNN5_PRE_HEAD_*; CN_EA_KNN5_LAST_GCN_POOL_*,reports/week4_embedding_analysis/tables/family_separation_metrics.csv; reports/week4_embedding_analysis/tables/nitride_distance_error_stats.csv,"The selected kNN5 domain-shift rows match exactly and 3 of 4 fixed-test family-separation metrics match, but fixed-test logistic AUC differs slightly, so full numerical-identity claims are unsafe."
CLM_12,policy_only,,,reports/final_paper_factory/00_source_of_truth/master_evidence_manifest_v2.md,"Historical provenance handling is policy-level, not a result-number claim."
